main:		running script: test_script
TAS_init:		initializing
i2c_write:		id:38 addr:0 data:ff
LED_init:		initializing
i2c_write:		id:48 addr:0 data:11
i2c_write:		id:48 addr:1 data:0
i2c_write:		id:48 addr:14 data:0
i2c_write:		id:48 addr:15 data:0
i2c_write:		id:48 addr:16 data:0
i2c_write:		id:48 addr:17 data:0
i2c_write:		id:48 addr:2 data:0
i2c_write:		id:48 addr:3 data:0
i2c_write:		id:48 addr:4 data:0
i2c_write:		id:48 addr:5 data:0
i2c_write:		id:48 addr:6 data:0
i2c_write:		id:48 addr:7 data:0
i2c_write:		id:48 addr:8 data:0
i2c_write:		id:48 addr:9 data:0
i2c_write:		id:48 addr:a data:0
i2c_write:		id:48 addr:b data:0
i2c_write:		id:48 addr:c data:0
i2c_write:		id:48 addr:d data:0
i2c_write:		id:48 addr:e data:0
i2c_write:		id:48 addr:f data:0
i2c_write:		id:48 addr:10 data:0
i2c_write:		id:48 addr:11 data:0
LED_ENABLE:		enabling
i2c_write:		id:48 addr:0 data:11
TAS_PWR:		tas power to:1
i2c_write:		id:56 addr:8 data:c0
i2c_write:		id:56 addr:9 data:c0
LED_PWR:		LED to power 1
LED_ENABLE:		enabling
i2c_write:		id:48 addr:0 data:11
i2c_write:		id:48 addr:2 data:ff
i2c_write:		id:48 addr:3 data:0
i2c_write:		id:48 addr:4 data:0
i2c_write:		id:48 addr:5 data:0
i2c_write:		id:48 addr:6 data:0
i2c_write:		id:48 addr:7 data:0
i2c_write:		id:48 addr:8 data:0
i2c_write:		id:48 addr:9 data:0
i2c_write:		id:48 addr:a data:0
i2c_write:		id:48 addr:b data:0
i2c_write:		id:48 addr:c data:0
i2c_write:		id:48 addr:d data:0
i2c_write:		id:48 addr:e data:0
i2c_write:		id:48 addr:f data:0
i2c_write:		id:48 addr:10 data:0
i2c_write:		id:48 addr:11 data:0
i2c_write:		id:48 addr:14 data:3
i2c_write:		id:48 addr:15 data:0
i2c_write:		id:48 addr:16 data:0
i2c_write:		id:48 addr:17 data:0
TAS_VOL:		tas volume to:0
i2c_write:		id:56 addr:7 data:3ff
LED_VOL:		LED to volume:0
i2c_write:		id:48 addr:2 data:0
i2c_write:		id:48 addr:3 data:0
i2c_write:		id:48 addr:4 data:0
i2c_write:		id:48 addr:5 data:0
i2c_write:		id:48 addr:6 data:0
i2c_write:		id:48 addr:7 data:0
i2c_write:		id:48 addr:8 data:0
i2c_write:		id:48 addr:9 data:0
i2c_write:		id:48 addr:a data:0
i2c_write:		id:48 addr:b data:0
i2c_write:		id:48 addr:c data:0
i2c_write:		id:48 addr:d data:0
i2c_write:		id:48 addr:e data:0
i2c_write:		id:48 addr:f data:0
i2c_write:		id:48 addr:10 data:0
i2c_write:		id:48 addr:11 data:0
i2c_write:		id:48 addr:14 data:0
i2c_write:		id:48 addr:15 data:0
i2c_write:		id:48 addr:16 data:0
i2c_write:		id:48 addr:17 data:0
TAS_SRC:		tas src to:1
i2c_write:		id:18 addr:7f data:50
i2c_write:		id:18 addr:0 data:1
i2c_write:		id:18 addr:36 data:2
i2c_write:		id:18 addr:7f data:50
i2c_write:		id:18 addr:0 data:0
i2c_write:		id:18 addr:1 data:7
i2c_write:		id:18 addr:7f data:50
i2c_write:		id:18 addr:0 data:1
i2c_write:		id:18 addr:36 data:2
i2c_write:		id:18 addr:7f data:50
i2c_write:		id:18 addr:0 data:1
i2c_write:		id:18 addr:3a data:2
i2c_write:		id:18 addr:7f data:50
i2c_write:		id:18 addr:0 data:0
i2c_write:		id:18 addr:1 data:7
i2c_write:		id:18 addr:7f data:50
i2c_write:		id:18 addr:0 data:1
i2c_write:		id:18 addr:3a data:2
LED_SRC:		LED to SRC:1
i2c_write:		id:48 addr:2 data:0
i2c_write:		id:48 addr:3 data:ff
i2c_write:		id:48 addr:4 data:0
i2c_write:		id:48 addr:5 data:0
i2c_write:		id:48 addr:6 data:0
i2c_write:		id:48 addr:7 data:0
i2c_write:		id:48 addr:8 data:0
i2c_write:		id:48 addr:9 data:0
i2c_write:		id:48 addr:a data:0
i2c_write:		id:48 addr:b data:0
